Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_aachen,1000,0,N/A,N/A,0.214000,1000,214,20260415_210614
MWPM,3,3,ibm_aachen,1000,0,N/A,N/A,0.400000,1000,400,20260415_210614
CNN,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.495000,1000,495,20260415_210614
MWPM+CNN,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.517000,1000,517,20260415_210614
CNN,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.703000,1000,703,20260415_210614
MWPM+CNN,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.517000,1000,517,20260415_210614
CNN,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.700000,1000,700,20260415_210614
MWPM+CNN,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.517000,1000,517,20260415_210614
GCNII,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.381000,1000,381,20260415_210614
MWPM+GCNII,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.517000,1000,517,20260415_210614
GCNII,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.214000,1000,214,20260415_210614
MWPM+GCNII,3,3,ibm_aachen,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.400000,1000,400,20260415_210614
GCNII,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.214000,1000,214,20260415_210614
MWPM+GCNII,3,3,ibm_aachen,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.400000,1000,400,20260415_210614
APPNP,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.223000,1000,223,20260415_210614
MWPM+APPNP,3,3,ibm_aachen,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.400000,1000,400,20260415_210614
